DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
NORTE DE SANTANDER,55,5505,Presidente - Pamplona - Cúcuta,131+0500,140+0000,Betania - Cúcuta (*),0,16.9,0,0,0,0,0,0,0,0,16.9,0,,16.9,8.45,0,8.45,8.45,8.45
NORTE DE SANTANDER,55,5507,Cúcuta  - Puerto Santander - Puente Internacional Pedro de Hevia (La Unión),2+0900,53+0758,PR 2+0900 (Nueva Terminal de Cúcuta) - Puente Internacional Pedro de Hevia,0,3.77,7.03,39.97,0,0,0,0,0,0,50.76,0,,50.76,50.76,50.76,0,0,50.76
NORTE DE SANTANDER,55,5507,Cúcuta  - Puerto Santander - Puente Internacional Pedro de Hevia (La Unión),0+0000,2+0900,Cúcuta - (Nueva Terminal de Cúcuta),0,2.94,0,0,0,0,0,0,0,0,2.94,0,,2.94,2.94,2.94,0,0,2.94
NORTE DE SANTANDER,55,,,,,Anillo Vial Occidental,0,21.84,0,0,0,0,0,0,0,0,21.84,0,,21.84,21.84,21.84,0,0,21.84
NORTE DE SANTANDER,55,55NS08,Cúcuta - San Cayetano - Cornejo,25+0000,33+0000,San Cayetano - Cornejo,0,8.05,0,0,0,0,0,0,0,0,8.05,0,,8.05,8.05,8.05,0,0,8.052
NORTE DE SANTANDER,55,55NS09,Cúcuta - Dos Ríos - San Faustino - La China,0+0000,29+0660,Cúcuta - Dos Ríos - San Faustino - La China,0,1.97,0,26.24,0,0,0,0,0,0.66,28.2,0.66,,28.86,28.87,28.86,0,0,28.86
NORTE DE SANTANDER,55,55NSA,Anillo Vial de Cúcuta,0+0000,18+0260,Anillo Vial de Cúcuta (*),0,2.03,16.02,18.3,0,0,0,0,0,0,36.35,0,,36.35,18.18,0,18.15,18.2,18.202
NORTE DE SANTANDER,66,6604,La Lejía - Saravena,0+0000,150+0000,La Lejía - Saravena,17.44,12.94,11.51,1.2,0,0,0,72.4,34.76,0,43.08,107.16,,150.24,150.4,150.24,0,0,150.241
NORTE DE SANTANDER,70,7008,Ocaña - Sardinata,69+0000,128+0000,Alto El Pozo - Sardinata,0,4,42.85,6.2,0,0,0,0,0,5.34,53.05,5.34,,58.39,58.39,58.39,0,0,58.385
NORTE DE SANTANDER,70,7009,Sardinata - Astilleros - Cúcuta,0+0000,57+0600,Sardinata - El Zulia,0,24.06,29.64,4.04,0,0,0,0,0,0,57.73,0,,57.73,57.73,57.73,0,0,57.734
NORTE DE SANTANDER,70,7009,Sardinata - Astilleros - Cúcuta,57+0600,66+0000,El Zulia - Cúcuta,0,9.15,0,0,0,0,0,0,0,0,9.15,0,,9.15,9.15,9.15,0,0,9.15
NORTE DE SANTANDER,70,7009A,Sardinata - Puente Gómez - Cornejo - Zulia,70+0000,75+0000,Cornejo - El Zulia,0,4.89,0,0,0,0,0,0,0,0,4.89,0,,4.89,4.89,4.89,0,0,4.886
NORTE DE SANTANDER,70,7010,Cúcuta - Puente Internacional Simón Bolívar,0+0000,8+0600,Cúcuta - Puente Internacional Simón Bolívar,0,17.54,0,0,0,0,0,0,0,0,17.54,0,,17.54,8.77,0,8.77,8.77,8.77
NORTE DE SANTANDER,70,70NSA,Variante de Sardinata,0+0000,5+0000,Variante de Sardinata,0,0,4.35,1,0,0,0,0,0,0,5.35,0,,5.35,5.35,5.35,0,0,5.351
NORTE DE SANTANDER,70,70NSB,Paso Nacional por Zulia,0+0000,1+0000,Paso Nacional por Zulia (3),,,,,,,,,,,0,0,,0,1,,,,0
NORTE DE SANTANDER,70,70NS06_1,Cucuta - Puente Binacional Tienditas,0+0000,1+0272,Cucuta - Puente Binacional Tienditas (*),2.54,0,0,0,0,0,0,0,0,0,2.54,0,,2.54,1.27,0,1.27,1.27,1.27
PUTUMAYO,10,1003,Pasto - El Encano - El Pepino,33+0000,137+0700,La Piscicultura - El Pepino,2.01,35.24,2.58,1.38,0,0,2.92,29.74,31.45,0,41.21,64.11,,105.32,105.32,105.32,0,0,105.32
